signature,block_time,block_time_utc,wallet,side,sol_amount,token_amount,price_sol_per_token,mcap_sol,mcap_usd
39BQ3xcvw7kqKntTgUSeZeJRtdQyvLP2JB42Am3yrtYepxG8JeH8tY6M73UnVcSMWMMMD7r7W8mdvMJx4dnRVBAW,1785083078,2026-07-26T16:24:38Z,8ZatX3uYfVxH1emrDQd3erxwGsX8tdrqxH1mHiKh3GCw,buy,1.461728394,41465925.394783,3.5251314906959876e-08,33.98804605604366,2531.3316149100647
3FbkHQRcvAoZRDkeA164xdsGL4vwUhGWaPg2RnFw8JdRtEMEDBRkfUqsrWutUv39YdPsTCmzfX5thyhxTw7NSipg,1785083078,2026-07-26T16:24:38Z,Anubis512ho5t7S6LNSwoxUWdeQmX2kf3RvZ8ApHHF5w,buy,1.711727334,37770752.306904,4.5318857302376754e-08,43.694807222534024,3254.2631826325114
3rsnamo2om28bvC8eEn5URusvjjWcL3Va2LFpGYnRskeeTgqy5f8w8ZaGmQVf5r4Jm6G5qNjM6EnYnhRg5pm6pP4,1785083078,2026-07-26T16:24:38Z,D9gQ6RhKEpnobPBUdWY5bPQt2p3zGk3iVz6ChpUi2ArA,buy,2.964654242,96449438.144093,3.073791096191646e-08,29.63638480429904,2207.232439401224
4QD9wxZrPut4vWWBXgYapnFkZ7NtR1szrTFY3syv7zBAaGQLHbFkBz26fbcAjBn4TagbS76hBw72c1jYGspVbg5p,1785083078,2026-07-26T16:24:38Z,4zQG6oUwbjRrzVCG3wMAo6xuEBXe2doupdeeekKmPYUu,buy,1.451851851,34859773.819723,4.164834397687829e-08,40.15583069681773,2990.690420926862
5NL4CwHFyCA6vGzBjKr1L9LMHc4ZodmMwaZbqW9mDHnXrABL7SdkiMZSgLy4xE9287uv58KphRWiBCtxjsShWKFp,1785083078,2026-07-26T16:24:38Z,GMwXfLtKhgtWdLqq29pF4JbUUQA6asUeEaXtjQSB7gpN,buy,1.471604938,38334739.5034,3.8388285848909444e-08,37.01260026438617,2756.591686523546
3H5jRA3ke5UFdGwLiBHVqAnFrSZKLANieUiRPN6x15hHTnGuc5bPDGU15ZTsbwC922eeuMFWpp39quozSmfaMkCL,1785083079,2026-07-26T16:24:39Z,9iYFPoMEzVD8fV6r51pdhguw3VL1HKCuv4q281gXV4c3,buy,0.027649427,582959.081376,4.7429447251661444e-08,45.72976190694915,3405.820736693592
4LQiGnA7dcHZfR7FRXxJ1EcPP4PCgkpcH77SsSBSdRsdAdAq34jPcYj3RhAgRzEeTNC2J7D4benMWg1ijtakcd2t,1785083080,2026-07-26T16:24:40Z,Anubis512ho5t7S6LNSwoxUWdeQmX2kf3RvZ8ApHHF5w,sell,1.714098388,37770752.306904,4.538163217063286e-08,43.75533248574993,3258.7709296217486
49Qvs1GGSsEYYjez3ynM1GXj2t9Mpma9sdQFPpd6deR7SLvEMfSNhLp2QFFQW4wEPA6YCAVCAauuCdBDE9BwykEn,1785083084,2026-07-26T16:24:44Z,852hjNqEKrz6wdRJNdghm2Js1nxewZoazaC7vrr1rMTJ,buy,1.450389422,32171568.440258,4.508295654572596e-08,43.46736022366704,3237.3235863403606
coGeCHtzv7fLDJUckjDfQq4D5ivBXnv8DovUySR5yNWBtuEVfRg11rBwHfSCRqCB3CeqKsB9YPzMgPiDnqJ6LB4,1785083084,2026-07-26T16:24:44Z,25E1W48Z1gq5uqNGuFc68vo5F3V8NdSSs1ajMopXdd8E,buy,1.727638916,35324399.028242,4.8907807734216396e-08,47.15514374876499,3511.9790640525016
5nKXMQkq84rCb4JXbxCGA8TANxvCGZkJTPc5fedV1sF5EsyRTKpfCxRDDRpCC5ZhvJbS5kEsys1qGecyewKNQjTM,1785083086,2026-07-26T16:24:46Z,D9gQ6RhKEpnobPBUdWY5bPQt2p3zGk3iVz6ChpUi2ArA,sell,1.471941461,29899325.824668005,4.9229921424703024e-08,47.46571414809441,3535.1094514004976
d6eyjwyLsDLd5uMSk1scaCE8Rw3XxKdD4f1XkHknpi5ED9ppRYokmJvH4MEzeePd4Hp8peovt7Gtpx67vUgdAM8,1785083087,2026-07-26T16:24:47Z,BJhKQNuN3Tpi5EkJ6rV5gdG5Kf1rDNWfkx4jinNmj2T1,buy,0.097777777,2055810.81457,4.756166097922367e-08,45.857237613131645,3415.3147595232854
ErKcUC47SsjFwfjhEjELu95MMcfbbd8eAe2LYHzzYwqwAC5LfdtkqNdtDs67wPdEPqdCbhLYDM1CqhHnmZsvfyQ,1785083089,2026-07-26T16:24:49Z,D9gQ6RhKEpnobPBUdWY5bPQt2p3zGk3iVz6ChpUi2ArA,sell,2.935400014,66550112.319425,4.41081150984504e-08,42.52745326998912,3167.322028057322
SCYEyAv7MkQdqove1FHtMYMuU7AP5tctvwwsi5Y97onMhiFTkKvJ7yHgoVzSb3pD7qJmuWnn8g2XEPc2sgWk5j9,1785083090,2026-07-26T16:24:50Z,BJhKQNuN3Tpi5EkJ6rV5gdG5Kf1rDNWfkx4jinNmj2T1,sell,0.083690049,2055810.81457,4.0709022642973536e-08,39.25017095497713,2923.239496178431
29mUbPDPHpdTUz5A8j8QrHXz9bCm3UC2qk3ssF1fkX1zv3h3mwRsaDPdjvZB31mm9BMLMqEZFfDd68cpAifWKmfU,1785083093,2026-07-26T16:24:53Z,25E1W48Z1gq5uqNGuFc68vo5F3V8NdSSs1ajMopXdd8E,sell,1.379946549,35324399.028242,3.906496888727611e-08,37.66503363698666,2805.1830418477903
4DghuN8mwLee81zwCcezeQYjgbQXo3ED1gWJqVYfQ5FyZ1SnkotMaFJD99FXT8wVTjM5sDn5Qvao8KnJ2WK4sRN,1785083093,2026-07-26T16:24:53Z,ALmjjCJmzJAZApRHSJV7eKLUboVq7wMD5fZW2zJfzz5K,buy,0.217066666,6145916.051128,3.531884656318407e-08,34.05315764260566,2536.180938030599
5JmqSbWyMLXDYVJ8A5CJD72Jow76TDe17DNvi6k7chYoCNGPrL3Mre1EoUF7EZTqE3tRQqt8dJ2ntjQrQQjurfQK,1785083093,2026-07-26T16:24:53Z,852hjNqEKrz6wdRJNdghm2Js1nxewZoazaC7vrr1rMTJ,sell,1.168212188,32171568.440258,3.63119438882611e-08,35.0106662550344,2607.4934170767
2qMCY5rMjrCvu6UWbeowhtF7akmFinZA5Yt6UZFH66aMXBy2yWs4dSJBvb6W5gVtGKXQtnFKckdjjGj4aYp9odp3,1785083094,2026-07-26T16:24:54Z,9yHA2HwcsHfjSLZQXPx3eJUQAnbYU3YdbfBuNxkgFQSP,buy,1.326218668,29491609.549023,4.496935529393428e-08,43.35782999513201,3229.1660909132365
32iwckPGVkPPqU3MCwcwzxQuyjYjz3BpiUsJjoBkeUuaiQek93W7kPDkVj56XLjkxw4LYAYkDdQqg7YzzTN2Lahj,1785083094,2026-07-26T16:24:54Z,DpGxaoQzvNnZsJaHWRrFXsPfiuZj6UdZ1om6eMJ3T4Cz,buy,0.397109395,7083975.425099,5.605742131642845e-08,54.04854322496897,4025.379569616922
3JZCnuyoZKqDxDsqq4jpQf8rm58HcC3gXVYQEjLpoLT3KPWYRVTgXwb71mtidyNSNUottrJybrqeQ4iSEZ5Neosd,1785083094,2026-07-26T16:24:54Z,6YZaSkJPTTEYpRHpkuqqshf8MAAgmZGRKvVVhupWE11x,buy,0.493827159,9043820.668579,5.460382034284544e-08,52.64703360844414,3920.9991767264355
3aJeMypPs6CFrRfoeTDML7VptCU3XNH8May6h7yd8JUrLcQWsfdjooBuHVGguRBrLNXj9vW5AnceyzHhduyK41o7,1785083094,2026-07-26T16:24:54Z,9SHHN4YyEW6EJVmqt26FAdWFpMQnaoTXuo95L9QA3f6C,buy,0.977777777,26733903.335625,3.6574448733681e-08,35.26376395648509,2626.343403695136
3j754V3EoK73PRYDaJRVtfvWo5asmd7HV4zg7Zq4b6MwtjL9zwUPqdMjYMJMu2kk4EaT9DQMjn2dftbyAvpqgkyL,1785083094,2026-07-26T16:24:54Z,Azxu5fAdDpko5LpHeefbCxPUeMagj6KG2edL7heBAu3n,buy,0.177777777,3128809.622685,5.6819621018500745e-08,54.783428679492005,4080.111718128911
3vixLPgEiaTJTMkcH6V25XKfqiHrnVgfwDkw9inhpaet1xJ9SnKmy615xb1dttEKiz4afZ973dA8P68fgJ456rZv,1785083094,2026-07-26T16:24:54Z,CeZbzsqje88U7GCCrAiGUr5BrZrBJ3AkQMyG9aggDiqQ,buy,1.25437453,29886035.026527,4.1971928657870165e-08,40.46781937212274,3013.9264373778
44CmWqeGUup9VP6Ts5QZpTWqsvcxxXDvbwMXMkrR8AfUWP1dVHnS7y83ANS5UC8NoPT7snLpdWNDfAfLTBCuAuCz,1785083094,2026-07-26T16:24:54Z,57stAMFvwctAjkBS76RXGoK4QKyS1QoxbGMbzFFe4DyZ,buy,2.962962962,59107865.990056,5.0128065230750735e-08,48.331672003155106,3599.603494161307
5YpbdRLhBssmFNKPUMZGXCirpYmfHi4728ahEAc6U3oQkYzysPomGLeamQVkLbkYV2tXzARwJwa6teF2JXZnFpiW,1785083094,2026-07-26T16:24:54Z,9Uq8GVrvSTxGxTYBXvmGJdvbJSfNTdUFgq1HwzNW2xT8,buy,0.098765431,1783407.417263,5.538018404766734e-08,53.39557548341737,3976.74841603485
mSeH3QVswaiJzduKgsH86TKetYwfDTsX8C2K35AhVzRPCACP6kuVqRDEtfiamduBq2huLdinQGz8ZtkhkHDM9Uq,1785083094,2026-07-26T16:24:54Z,ERwFALCBpbgvxcd3Veq2hWtVvKqDK7LKwfBxyGCNBgX9,buy,0.009876542,177882.457138,5.552285570430279e-08,53.53313434751694,3986.9934033763466
oqZkP1cxErCBhV88WLNwzcR9W441wvT4KHZ5Mjg2qgQgQ4TCW49xZ2RMip4t6YjCVKq8pXomSMXKbQTsi568CwY,1785083094,2026-07-26T16:24:54Z,42wuKdjT3h1dybTMygQshSsH57EHGseZPU9vTog4VEYm,buy,1.330517913,34054514.369321,3.907023599193168e-08,37.6701119892719,2805.561262874974
