wallet,first_buy_time,first_buy_time_utc,first_buy_mcap_usd,n_buys_sub60k,sol_spent_sub60k,tokens_bought_sub60k
8ZatX3uYfVxH1emrDQd3erxwGsX8tdrqxH1mHiKh3GCw,1785083078,2026-07-26T16:24:38Z,2531.3316149100647,1,1.461728394,41465925.394783
Anubis512ho5t7S6LNSwoxUWdeQmX2kf3RvZ8ApHHF5w,1785083078,2026-07-26T16:24:38Z,3254.2631826325114,1,1.711727334,37770752.306904
D9gQ6RhKEpnobPBUdWY5bPQt2p3zGk3iVz6ChpUi2ArA,1785083078,2026-07-26T16:24:38Z,2207.232439401224,1,2.964654242,96449438.144093
4zQG6oUwbjRrzVCG3wMAo6xuEBXe2doupdeeekKmPYUu,1785083078,2026-07-26T16:24:38Z,2990.690420926862,1,1.451851851,34859773.819723
GMwXfLtKhgtWdLqq29pF4JbUUQA6asUeEaXtjQSB7gpN,1785083078,2026-07-26T16:24:38Z,2756.591686523546,1,1.471604938,38334739.5034
9iYFPoMEzVD8fV6r51pdhguw3VL1HKCuv4q281gXV4c3,1785083079,2026-07-26T16:24:39Z,3405.820736693592,1,0.027649427,582959.081376
852hjNqEKrz6wdRJNdghm2Js1nxewZoazaC7vrr1rMTJ,1785083084,2026-07-26T16:24:44Z,3237.3235863403606,1,1.450389422,32171568.440258
25E1W48Z1gq5uqNGuFc68vo5F3V8NdSSs1ajMopXdd8E,1785083084,2026-07-26T16:24:44Z,3511.9790640525016,1,1.727638916,35324399.028242
BJhKQNuN3Tpi5EkJ6rV5gdG5Kf1rDNWfkx4jinNmj2T1,1785083087,2026-07-26T16:24:47Z,3415.3147595232854,3,0.24444444199999998,2682779.821676
ALmjjCJmzJAZApRHSJV7eKLUboVq7wMD5fZW2zJfzz5K,1785083093,2026-07-26T16:24:53Z,2536.180938030599,1,0.217066666,6145916.051128
9yHA2HwcsHfjSLZQXPx3eJUQAnbYU3YdbfBuNxkgFQSP,1785083094,2026-07-26T16:24:54Z,3229.1660909132365,1,1.326218668,29491609.549023
DpGxaoQzvNnZsJaHWRrFXsPfiuZj6UdZ1om6eMJ3T4Cz,1785083094,2026-07-26T16:24:54Z,4025.379569616922,1,0.397109395,7083975.425099
6YZaSkJPTTEYpRHpkuqqshf8MAAgmZGRKvVVhupWE11x,1785083094,2026-07-26T16:24:54Z,3920.9991767264355,1,0.493827159,9043820.668579
