wallet,first_buy_time,first_buy_time_utc,first_buy_mcap_usd,last_sell_time,last_sell_time_utc,n_buys,n_sells,sol_in,sol_out,tokens_bought,tokens_sold,tokens_still_held,realized_pnl_sol,realized_pnl_usd,hold_minutes,sold_out,n_trades_total
3EV31uA5e7rtYEWScX5DiCbhcQxJPFKA17TmcYGAtyj3,1785083481,2026-07-26T16:31:21Z,15426.023941039814,1785437234,2026-07-30T18:47:14Z,13,101,41.574841989,821.8195943240004,14358635.183092002,14358635.183092002,0,780.2447523350003,58112.62915391082,5895.88,True,114
35AzE1iVf6raPYq2MkKLdQUcojLdviaq3E2DnqrM2EkM,1785083440,2026-07-26T16:30:40Z,17320.247743452102,1786836745,2026-08-15T23:32:25Z,24,53,229.056045837,623.2267444729999,8342112.350046998,8342112.350046998,0,394.1706986359999,29357.83363440927,29221.75,True,77
4iB3E4ohRPDJFM1Auwer8ygmScR52HDm1hARh8WZeSWq,1785083220,2026-07-26T16:27:00Z,4612.4349514801725,1785890710,2026-08-05T00:45:10Z,27,25,196.834873456,466.025929516,10717502.855032,11117649.724862998,0,269.19105606,20049.3498553488,13458.17,True,52
FR2foNg3m2X2pYmWEZgBb3gCWpbF8fHhkgo8CGdMHzZa,1785083519,2026-07-26T16:31:59Z,19205.715349188165,1785108116,2026-07-26T23:21:56Z,142,170,270.83989537499997,526.556352604,36011587.629811004,36011587.62981103,0,255.71645722900027,19045.76173441594,409.95,True,312
8M3bQsiffCKZ6pbAwtm2v1HDfVyfScu9fePfcJfpAomX,1785083519,2026-07-26T16:31:59Z,18425.12004901053,1785107800,2026-07-26T23:16:40Z,142,181,270.70984524100004,515.22009906,36996834.470725,36996834.470725015,0,244.51025381899998,18211.12370443912,404.68,True,323
8zgiH1ZyTbsQw13oNKNSFkDyj59xSq8xbWKrvwxqNPRy,1785083519,2026-07-26T16:31:59Z,17639.172424722256,1785108116,2026-07-26T23:21:56Z,135,167,246.149137572,452.16867436,25389923.98005902,25389923.980059016,0,206.01953678799987,15344.33509997023,409.95,True,302
5VqL3BXB5XLidG2HvgzCVnVLVtPuZX8SeeRcvdqFtXbt,1785083410,2026-07-26T16:30:10Z,17076.474836298436,1785264817,2026-07-28T18:53:37Z,3,28,15.005873275999999,212.51341358099995,47676999.351414,47676999.35141401,0,197.50754030500002,14710.361601916402,3023.45,True,31
5TxsqqZYcGW9qbNwt9wLF4PhHe9W4dHwpjwFDw83TBua,1785083534,2026-07-26T16:32:14Z,26469.189703199594,1787432510,2026-08-22T21:01:50Z,72,54,354.19847039999996,505.64008472699993,4822719.605184999,4822719.605184999,0,151.44161432700002,11279.371435074963,39149.6,True,126
9Ze1EXNGv7Ff24F19uPtuLyPioXYXNwG4FXnvrezyuZ9,1785083485,2026-07-26T16:31:25Z,17764.992063859714,1786172128,2026-08-08T06:55:28Z,10,9,9.298843201,120.202665152,1011962.7411039999,1011962.8968180001,0,110.90382195100001,8260.116658910481,18144.05,True,19
2QM2EWyLhwiFSmQv1whR3twumY6J63DCBrsgWUYbKizF,1785083440,2026-07-26T16:30:40Z,17524.214904879613,1786057414,2026-08-06T23:03:34Z,4,7,0.6817740800000001,108.16350585699999,1306954.604334,1306954.604334,0,107.481731777,8005.2393827509595,16232.9,True,11
831yhv67QpKqLBJjbmw2xoDUeeFHGUx8RnuRj9imeoEs,1785083473,2026-07-26T16:31:13Z,9912.4874637904,1787702989,2026-08-26T00:09:49Z,17,42,97.60386157999999,193.07127591000005,46996758.795017004,46996758.795017004,0,95.46741433000003,7110.413019298402,43658.6,True,59
8rvAsDKeAcEjEkiZMug9k8v1y8mW6gQQiMobd89Uy7qR,1785083505,2026-07-26T16:31:45Z,12985.087822055679,1785699518,2026-08-02T19:38:38Z,21,33,87.532792001,175.160454913,40199210.085219,40199210.085219,0,87.627662912,6526.508333685761,10266.88,True,54
2pUUZYtokRgDV2YzL6M5pjb1jyoHE367yU1sdQ7ac3ea,1785083404,2026-07-26T16:30:04Z,13021.724772422212,1787461979,2026-08-23T05:12:59Z,45,32,117.33424377399996,180.251040552,15606281.198899008,16533473.965370003,0,62.91679677799999,4686.04302402544,39642.92,True,77
EeY4X2ebEXuCUYJz5CYm5zGc6hxoUvs3aR6HvZwfJk9q,1785083221,2026-07-26T16:27:01Z,5061.230785896914,1785087468,2026-07-26T17:37:48Z,2,21,4.029874079999999,65.948082611,56111574.024872005,56111574.02487201,0,61.918208531,4611.66817138888,70.78,True,23
85rqTn6C9DbSuM1wDLacnNxtkw9zu7jzgspm5wtLWRF7,1785083423,2026-07-26T16:30:23Z,17971.118993486216,1785521562,2026-07-31T18:12:42Z,1,7,0.27660008399999997,61.005631445999995,1066623.28241,1066623.28241,0,60.729031362,4523.09825584176,7302.32,True,8
FSG4XbDyJWJKVuvmwMbyypTh4Cqnoc8xR4gTr3ViNuLc,1785083525,2026-07-26T16:32:05Z,20674.77672325738,1787775584,2026-08-26T20:19:44Z,8644,3321,747.0300819999794,771.834307736997,2995990.611405007,2920951.659412997,75142.741962,54.84592063519916,4084.9241689096334,44867.65,False,11965
A1p52kTKMokAirBKjii9svbE79p1Y27rZG4fGRtm9HnL,1785083421,2026-07-26T16:30:21Z,18634.64135757603,1786987295,2026-08-17T17:21:35Z,13,8,8.909099822,54.765386959,1612985.891819,1612985.8918189998,0,45.856287136999995,3415.37626596376,31731.23,True,21
Avtr4ZjsMDsfUEcLedsUDhVXE2QiQHxepbQv7VPS3BoY,1785083506,2026-07-26T16:31:46Z,14749.369168219104,1787078416,2026-08-18T18:40:16Z,1,16,0.20507408000000002,44.02479403899999,961690.303736,961690.303736,0,43.819719959000004,3263.6927425463205,33248.5,True,17
