wallet,first_buy_time,first_buy_time_utc,first_buy_mcap_usd,n_buys_sub60k,sol_spent_sub60k,tokens_bought_sub60k,bought_before_crossing
9Q7rXKnZr3xDm5jgEARhh9sPMk4pDpXsct1HjaPsQZqi,1786828074,2026-08-15T21:07:54Z,24964.228938122782,1,0.0020732800000000003,220.65895744,True
ricEmGn6WZ9kN2ASm1MAt7LoE1hBgu1VcQrjRwkAPfc,1786828074,2026-08-15T21:07:54Z,24964.272748965523,1,0.00210538,176.526856131,True
CUkKyTN2GnkLKSucTF24qjhFn6jgSDAUQHF3RzLKhsZf,1786828074,2026-08-15T21:07:54Z,24964.21759508339,1,0.0020895799999999997,110.329528779,True
5GjQkGJF1NtAsTt9P8Q3Ni6SD2QsSZ1sSnsi8GBqDnt5,1786828074,2026-08-15T21:07:54Z,24964.25159549949,2,0.0021442799999999997,794.370970364,True
28XmmbBDVXEWQ65Cxi1SL6196Fx1jK6dg6yTiFx5M6eT,1786828792,2026-08-15T21:19:52Z,25039.76311607542,9,2.1763292799999996,4061864.498806284,True
2DCW6PvdpXwscZVanFmDLB7svT2STkUj2SuXSMR6C29g,1786828841,2026-08-15T21:20:41Z,25213.772425800733,9,19.046168559999998,33142572.582945265,True
AnonH2TuipeipbvvVYGCmaJCvkddAiLZZoNAa5u1aELh,1786828844,2026-08-15T21:20:44Z,25375.596199562886,1,0.65684928,1396921.543012971,True
GjGhvk8AdrQQnyhfGcaF3TNLo8tngc42QELQMoBkTGaD,1786828853,2026-08-15T21:20:53Z,26246.54427795608,3,0.23326928000000002,358194.874500354,True
8KQriAKQrWJY2CPMLGmxwMz2sEhKjq6hEd3Rwx1B5Zu6,1786828859,2026-08-15T21:20:59Z,27334.157702423436,4,4.941437681,9145461.04702464,True
CQ4n79cjiQ3tRSMFTGzKPSYoCaazfuCGu2Y7Hzd1aUj2,1786828859,2026-08-15T21:20:59Z,27129.434597396226,4,4.712526316,8622078.696142167,True
G5nGszFTvbcoVEQqek9qStAT76ffLmjr4UzEtMoouizp,1786828859,2026-08-15T21:20:59Z,27514.844869526605,4,4.927625407000001,8989595.08494939,True
Gwk2S8xumrwaWQCKf1rwoGg3RS2rUx2GUCfiiE7Mm3QA,1786828859,2026-08-15T21:20:59Z,27701.84070931385,4,5.550061261000001,10089110.77783336,True
DenZLNzBtE3L8T1kQFKh8oE7FCXBrdsM9xwCbsnKvdJq,1786828862,2026-08-15T21:21:02Z,29421.053297938783,6,6.267546105,8861282.631903345,True
Hedt6aVyFRvxpQJkrrqgZ3e3JxUNb7ufCVyYXMnHYYE4,1786828862,2026-08-15T21:21:02Z,29910.871504361003,6,6.046133386,8553230.514945785,True
AJGU1reuw27UFzBYBNxFnqXKGWgNZgTBM6CjjdjMTKXo,1786828862,2026-08-15T21:21:02Z,30184.81023965911,1,2.376710729,4289762.965815663,True
2AwjJTdTWCu6QjyZKvF6oVEd9TkQP1WYvVswFvDEySxn,1786828862,2026-08-15T21:21:02Z,29585.618749828653,6,5.774838078,8170358.69790229,True
5kidNviTucvoHuFGuPQUikWokMxsLZMncGrS5gK9Cujs,1786828862,2026-08-15T21:21:02Z,28998.14100263478,6,6.025569403,8496931.02275074,True
