wallet,first_buy_time,first_buy_time_utc,first_buy_mcap_usd,last_sell_time,last_sell_time_utc,n_buys,n_sells,sol_in,sol_out,tokens_bought,tokens_sold,tokens_still_held,realized_pnl_sol,realized_pnl_usd,hold_minutes,sold_out,n_trades_total,bought_before_crossing
E8VtaEW7koT1gy85BAx8WqAYbvjASZUXNCcuW5r1oS3v,1786864142,2026-08-16T07:09:02Z,57011.112790714295,1787762565,2026-08-26T16:42:45Z,2,2,5.00203928,619.5158319330001,5280702.216048639,5280704.215002606,0.0,614.513792653,46371.210793595375,14973.72,True,4,False
6DqwStHBhuxWGutooviZUgVDhT3F4Dy5pAiP2YErRCEe,1786842329,2026-08-16T01:05:29Z,53753.31894694252,1787587306,2026-08-24T16:01:46Z,44,73,116.23011784000002,405.90873341799994,21105538.513911255,21105538.513911255,0.0,289.6786155779999,21859.14833151587,12416.28,True,117,False
FiN6YjR6Q1ovRhUHJsGW2VuLKWgqgQ59Yr3ck6pU7jbm,1786839220,2026-08-16T00:13:40Z,40988.37549507293,1787815759,2026-08-27T07:29:19Z,9,7,13.193410858,245.328241632,7732366.160319426,7732366.160319426,0.0,232.13483077400002,17516.89433020604,16275.65,True,16,True
Bc2FpV584T1bKBp21xP2xzUH3tATBCvL85Y3ffubG6Yo,1786841580,2026-08-16T00:53:00Z,56081.1758455059,1787763288,2026-08-26T16:54:48Z,1,14,3.002052503,157.723746758,2921706.461133167,2921706.84788934,0.0,154.721694255,11675.299048482299,15361.8,True,15,False
AaJsuS3A6zQsV2jdwEVoe4vJ3mjKXRw41siqweSKNchk,1786839220,2026-08-16T00:13:40Z,41766.83725281505,1787815759,2026-08-27T07:29:19Z,8,32,11.577027111,163.703018445,7180714.574144332,7180714.574144333,0.0,152.125991334,11479.427306063639,16275.65,True,40,True
9Nc7QXztAZyyhrza7PMyBLL61YsL7NXbRRkHNcU3Vx7i,1786839837,2026-08-16T00:23:57Z,59620.88558260255,1787076783,2026-08-18T18:13:03Z,10,35,24.685439280000004,161.11966739600004,20658779.536134228,20658779.536134228,0.0,136.434228116,10295.32685363336,3949.1,True,45,False
FYTiZbk17NNPQ5j1aRH67mhJZH3ggYcmwbQqqEN9GAk5,1786830256,2026-08-15T21:44:16Z,31947.61310477153,1787087125,2026-08-18T21:05:25Z,3,15,14.00653928,144.574027981,8991917.87578988,8991917.875789879,1.862645149230957e-09,130.56748870099997,9852.622697377457,4281.15,True,18,True
9W298hjW9MJ9mW3H8LHxzdqV5N7jKgnN66gQzPACg9ZT,1786839220,2026-08-16T00:13:40Z,42551.955919104665,1787815759,2026-08-27T07:29:19Z,9,20,12.654103361,134.713498012,6909023.486541028,6909023.486541028,0.0,122.05939465099998,9210.601920364457,16275.65,True,29,True
3883isRkbz3Brq8DcJNrbnq1QZqwmzTxAC3qAzs99Zvz,1786839220,2026-08-16T00:13:40Z,40329.95087729517,1787815759,2026-08-27T07:29:19Z,8,14,9.830992812,86.082649649,5589217.973992291,5589217.973992291,0.0,76.251656837,5753.950024920019,16275.65,True,22,True
rAHF9X8b6JfP5DvM3b1RhuJVco1NZ9RHsxJvdSVWixf,1786841671,2026-08-16T00:54:31Z,56891.530032927,1787702158,2026-08-25T23:55:58Z,1,18,2.9020508539999996,63.626201418,2784087.120354009,2784087.120354009,0.0,60.724150563999984,4582.244401559438,14341.45,True,19,False
Gwk2S8xumrwaWQCKf1rwoGg3RS2rUx2GUCfiiE7Mm3QA,1786828859,2026-08-15T21:20:59Z,27701.84070931385,1787815759,2026-08-27T07:29:19Z,11,10,12.661891808,66.57412711,10440421.357154813,10440421.357154815,0.0,53.912235302000006,4068.21727588892,16448.33,True,21,True
ATj6HNyLtkdm8LMiTf6LftgDLDK378dAjDv8bCBhkoD1,1786839041,2026-08-16T00:10:41Z,37272.977732955274,1787810186,2026-08-27T05:56:26Z,25,9,169.03203927999996,220.070185552,30069768.074351814,30069768.074351814,0.0,51.03814627199999,3851.338517685119,16185.75,True,34,True
8KQriAKQrWJY2CPMLGmxwMz2sEhKjq6hEd3Rwx1B5Zu6,1786828859,2026-08-15T21:20:59Z,27334.157702423436,1787815759,2026-08-27T07:29:19Z,11,10,12.181414956,61.570344449000004,9512160.280699013,9512160.280699015,0.0,49.388929493000006,3726.8886195417804,16448.33,True,21,True
G5nGszFTvbcoVEQqek9qStAT76ffLmjr4UzEtMoouizp,1786828859,2026-08-15T21:20:59Z,27514.844869526605,1787815759,2026-08-27T07:29:19Z,11,9,12.464267351000002,59.13688956200001,9449908.593602633,9449908.593602635,0.0,46.67262221100001,3521.9160720420605,16448.33,True,20,True
CQ4n79cjiQ3tRSMFTGzKPSYoCaazfuCGu2Y7Hzd1aUj2,1786828859,2026-08-15T21:20:59Z,27129.434597396226,1787815759,2026-08-27T07:29:19Z,11,9,11.934841671000001,56.729092783999995,9027270.12151908,9027270.12151908,0.0,44.794251112999994,3380.1741889869795,16448.33,True,20,True
CASStbiKKzQrFvs835DagrLid7saGriDUHv39Mr8SRUG,1786828896,2026-08-15T21:21:36Z,51161.79600610303,1787076268,2026-08-18T18:04:28Z,4,6,23.051197303000002,64.20210229,10403643.563110232,10403643.563110232,0.0,41.150904987000004,3105.24729031902,4122.87,True,10,True
