signature,block_time,block_time_utc,wallet,side,sol_amount_trader,token_amount,price_sol_per_token,venue
ix79Yp5xCV4qR1YvHUdEamREjQAxXgK7fJ1Jdo6beeH3XRMF3dJgJo4cQLDVQg81g1C3yXDe3ByGnmec3qv37Vs,1786828074,2026-08-15T21:07:54Z,5GjQkGJF1NtAsTt9P8Q3Ni6SD2QsSZ1sSnsi8GBqDnt5,buy,0.002239279999999978,441.317514405,5.074079153688371e-06,raydium_cpmm
yG938fF7ioMtsKPPWrZ58ExxcvByhjBP6Ew2QGtc5YBFprnRJ8UVeen6pLiAFG8BtB5M4EdhwKYd4NMfqiNvfwy,1786828074,2026-08-15T21:07:54Z,5GjQkGJF1NtAsTt9P8Q3Ni6SD2QsSZ1sSnsi8GBqDnt5,buy,0.000160000000000049,353.05345595899996,4.5318916243275567e-07,raydium_cpmm
4MJgByt5hJffVmJzXV7WXJZ3C2Zf29K2xuFfodvyvNKUKA2nUQu3FZ3wS65q4wkCwGBnxRUfwFoG56kWLZTFFT3b,1786828074,2026-08-15T21:07:54Z,9Q7rXKnZr3xDm5jgEARhh9sPMk4pDpXsct1HjaPsQZqi,buy,0.002144279999999989,220.65895744,9.717620462260392e-06,raydium_cpmm
HtAYh5bYWCyfkP9SVydoGfYQKDwuXstavYT3otxhznYsgjqWFBr7kNi2B6ah1cchYF61pHorXybazSUPJHfK1WC,1786828074,2026-08-15T21:07:54Z,CUkKyTN2GnkLKSucTF24qjhFn6jgSDAUQHF3RzLKhsZf,buy,0.0020892799999999946,110.329528779,1.893672549064368e-05,raydium_cpmm
5CrdeqYQpXURxtkCAjGbPF9iUzY3HrH7qQXBVFWX3wHxx19SsQ9MwghbJ67ZEcVm495d4zAP3PfrHvZDuhqNTYi6,1786828074,2026-08-15T21:07:54Z,ricEmGn6WZ9kN2ASm1MAt7LoE1hBgu1VcQrjRwkAPfc,buy,0.0021192800000005237,176.526856131,1.200542538653616e-05,raydium_cpmm
kFFm5cKR8rhzWLRHbBacB3D8GAbkEXjrKp3MNajH5K32CBmhKM5gGP78RS9UNM9iF5FprcTanTMGrLz7zC78BmN,1786828792,2026-08-15T21:19:52Z,28XmmbBDVXEWQ65Cxi1SL6196Fx1jK6dg6yTiFx5M6eT,buy,1.01213928,2199933.243988167,4.6007726951074887e-07,raydium_cpmm
4eA59CNWC8HaXx1fGHtqJGwu34cPnXqkVUH1YqbJff86Af21c9SASjNUCHjKSzwm9JL8kAei4VnFvL1AeJtfZJ3i,1786828794,2026-08-15T21:19:54Z,28XmmbBDVXEWQ65Cxi1SL6196Fx1jK6dg6yTiFx5M6eT,buy,0.3031,657392.5405439921,4.610639478038264e-07,raydium_cpmm
WuKYpdpsWhT2DJm5BrdXMvXuB3eQyB3cm52n7ttxjAeHtv6vMrCKg72hEE99QoYt6Dy3wgqZCv9B1HqiAjuwAqt,1786828794,2026-08-15T21:19:54Z,28XmmbBDVXEWQ65Cxi1SL6196Fx1jK6dg6yTiFx5M6eT,buy,0.0506,109449.77211553976,4.623125203639942e-07,raydium_cpmm
2Xuj5apuWyxdzzu4pERqkxwytcmjc1RpETfRZUZLaitbean5tqyRQ6vym9h12No4iAhNeHRyUqygQVic6ExWf11o,1786828795,2026-08-15T21:19:55Z,28XmmbBDVXEWQ65Cxi1SL6196Fx1jK6dg6yTiFx5M6eT,buy,0.0506,109416.79351120722,4.624518629749208e-07,raydium_cpmm
3Zny1r4wFFQg2sJ1G4nDLJSDKUFYgjd2mjUFGUYMGnpBbcAGK5oDErCvrLUzs8GvrECFtJ8z6tjSLJ3uyPLgUQHd,1786828841,2026-08-15T21:20:41Z,2DCW6PvdpXwscZVanFmDLB7svT2STkUj2SuXSMR6C29g,buy,0.50553928,1081451.603248309,4.67463618789351e-07,raydium_cpmm
54YXTD5RrUDjdc4Mxr7stqUGr75e41dsCVaCpf5yAezxNCcNFwe3tGBGfcdP8t7KoHs7D57ViyYx4vbGCCBRdn5q,1786828842,2026-08-15T21:20:42Z,2DCW6PvdpXwscZVanFmDLB7svT2STkUj2SuXSMR6C29g,buy,0.5035000000000001,1078235.2333671257,4.6696674753213575e-07,raydium_cpmm
55swfeE6AM4GqvC8ieXzYQkjL5CsAEpkyyP2to4g1v9cAWReq9rJipYjrbABM5pL5kRGA9fRN5NwUPWrQd8RMQ6n,1786828844,2026-08-15T21:20:44Z,AnonH2TuipeipbvvVYGCmaJCvkddAiLZZoNAa5u1aELh,buy,0.65363928,1396921.543012971,4.6791409529714063e-07,raydium_cpmm
5uVoKAX2FDmZdQYCEYknfTa23o3waQYRwsPeefzMjqPxRRzb2WtfKuY4wcEszbMuufzwoE4WoiP8gAqhKivVJGAa,1786828849,2026-08-15T21:20:49Z,2DCW6PvdpXwscZVanFmDLB7svT2STkUj2SuXSMR6C29g,buy,3.001,6402652.5140483705,4.6871198982224324e-07,raydium_cpmm
