signature,block_time,wallet,side,quote_amount,token_amount,pool_token_amount,attribution
ix79Yp5xCV4qR1YvHUdEamREjQAxXgK7fJ1Jdo6beeH3XRMF3dJgJo4cQLDVQg81g1C3yXDe3ByGnmec3qv37Vs,1786828074,5GjQkGJF1NtAsTt9P8Q3Ni6SD2QsSZ1sSnsi8GBqDnt5,buy,0.002239279999999978,441.317514405,441.317514405,balance_delta
yG938fF7ioMtsKPPWrZ58ExxcvByhjBP6Ew2QGtc5YBFprnRJ8UVeen6pLiAFG8BtB5M4EdhwKYd4NMfqiNvfwy,1786828074,5GjQkGJF1NtAsTt9P8Q3Ni6SD2QsSZ1sSnsi8GBqDnt5,buy,0.000160000000000049,353.05345595899996,353.05345595899996,balance_delta
4MJgByt5hJffVmJzXV7WXJZ3C2Zf29K2xuFfodvyvNKUKA2nUQu3FZ3wS65q4wkCwGBnxRUfwFoG56kWLZTFFT3b,1786828074,9Q7rXKnZr3xDm5jgEARhh9sPMk4pDpXsct1HjaPsQZqi,buy,0.002144279999999989,220.65895744,220.65895744,balance_delta
HtAYh5bYWCyfkP9SVydoGfYQKDwuXstavYT3otxhznYsgjqWFBr7kNi2B6ah1cchYF61pHorXybazSUPJHfK1WC,1786828074,CUkKyTN2GnkLKSucTF24qjhFn6jgSDAUQHF3RzLKhsZf,buy,0.0020892799999999946,110.329528779,110.329528779,balance_delta
5CrdeqYQpXURxtkCAjGbPF9iUzY3HrH7qQXBVFWX3wHxx19SsQ9MwghbJ67ZEcVm495d4zAP3PfrHvZDuhqNTYi6,1786828074,ricEmGn6WZ9kN2ASm1MAt7LoE1hBgu1VcQrjRwkAPfc,buy,0.0021192800000005237,176.526856131,176.526856131,balance_delta
kFFm5cKR8rhzWLRHbBacB3D8GAbkEXjrKp3MNajH5K32CBmhKM5gGP78RS9UNM9iF5FprcTanTMGrLz7zC78BmN,1786828792,28XmmbBDVXEWQ65Cxi1SL6196Fx1jK6dg6yTiFx5M6eT,buy,1.01213928,2199933.243988167,2199933.243988167,balance_delta
4eA59CNWC8HaXx1fGHtqJGwu34cPnXqkVUH1YqbJff86Af21c9SASjNUCHjKSzwm9JL8kAei4VnFvL1AeJtfZJ3i,1786828794,28XmmbBDVXEWQ65Cxi1SL6196Fx1jK6dg6yTiFx5M6eT,buy,0.3031,657392.5405439921,657392.5405439921,balance_delta
WuKYpdpsWhT2DJm5BrdXMvXuB3eQyB3cm52n7ttxjAeHtv6vMrCKg72hEE99QoYt6Dy3wgqZCv9B1HqiAjuwAqt,1786828794,28XmmbBDVXEWQ65Cxi1SL6196Fx1jK6dg6yTiFx5M6eT,buy,0.0506,109449.77211553976,109449.77211553976,balance_delta
2Xuj5apuWyxdzzu4pERqkxwytcmjc1RpETfRZUZLaitbean5tqyRQ6vym9h12No4iAhNeHRyUqygQVic6ExWf11o,1786828795,28XmmbBDVXEWQ65Cxi1SL6196Fx1jK6dg6yTiFx5M6eT,buy,0.0506,109416.79351120722,109416.79351120722,balance_delta
3Zny1r4wFFQg2sJ1G4nDLJSDKUFYgjd2mjUFGUYMGnpBbcAGK5oDErCvrLUzs8GvrECFtJ8z6tjSLJ3uyPLgUQHd,1786828841,2DCW6PvdpXwscZVanFmDLB7svT2STkUj2SuXSMR6C29g,buy,0.50553928,1081451.603248309,1081451.603248309,balance_delta
54YXTD5RrUDjdc4Mxr7stqUGr75e41dsCVaCpf5yAezxNCcNFwe3tGBGfcdP8t7KoHs7D57ViyYx4vbGCCBRdn5q,1786828842,2DCW6PvdpXwscZVanFmDLB7svT2STkUj2SuXSMR6C29g,buy,0.5035000000000001,1078235.2333671257,1078235.2333671257,balance_delta
55swfeE6AM4GqvC8ieXzYQkjL5CsAEpkyyP2to4g1v9cAWReq9rJipYjrbABM5pL5kRGA9fRN5NwUPWrQd8RMQ6n,1786828844,AnonH2TuipeipbvvVYGCmaJCvkddAiLZZoNAa5u1aELh,buy,0.65363928,1396921.543012971,1396921.543012971,balance_delta
5uVoKAX2FDmZdQYCEYknfTa23o3waQYRwsPeefzMjqPxRRzb2WtfKuY4wcEszbMuufzwoE4WoiP8gAqhKivVJGAa,1786828849,2DCW6PvdpXwscZVanFmDLB7svT2STkUj2SuXSMR6C29g,buy,3.001,6402652.5140483705,6402652.5140483705,balance_delta
2xv3AAEjZKLHG5WGsTxZQ1rySYC6pdBzVvrbGxj4ZznXHSysFPCFroemd2NSrKCdM9Ki9ppeMNhARaJyhcxN9Gvz,1786828849,AnonH2TuipeipbvvVYGCmaJCvkddAiLZZoNAa5u1aELh,sell,0.633689283,1396921.543012971,1396921.543012971,balance_delta
3x6zDZkD2EQMtJSsBqhUPPSTFFUyxND7qH9D2vSMoz16XDDBaHR2z3JtsoRhErr1XoyPYAwcwovwGfAuCdMLuW8F,1786828851,2DCW6PvdpXwscZVanFmDLB7svT2STkUj2SuXSMR6C29g,buy,3.001,6290403.270350838,6290403.270350838,balance_delta
