rank,wallet,tag,test_batch,first_buy_time_utc,usd_in,n_buys,n_sells,realized_pnl_usd,tokens_still_held
1,FtKw6WPGjAPveaw5GpoodSoPdqUBa1nCXV3TsSwwx8TG,MOS-P1,yes,2026-09-02T12:45:45.000Z,10000,4,14,6364.025147999999,0
2,3yBsTBbPGeitdLCnJekGKXYZptcswEA6RugHxi2EgVMm,MOS-P1,yes,2026-09-02T13:33:13.000Z,9990,10,0,0,10398689.639574388
3,ESvCyAdqamnMurn1mmSQ8vui3Hshn2sZApmXxYfGm9b9,MOS-P1,yes,2026-09-02T12:46:41.000Z,7500,2,0,0,9394707.414681034
4,FYzyrnTaZeFnRn8yjSYkYBYESY7vPJWhFctgoES3rvRy,MOS-P1,yes,2026-09-02T13:06:29.000Z,5970.012,3,0,0,6387826.540097009
5,6SHqkzJfZYiNqmz4xDiwndEAqbubuAVt44LwJ9GF3obS,MOS-P1,yes,2026-09-02T12:09:23.000Z,4995.0012,1,1,156.54314700000012,0
6,HbPEA8hC6QnuxEfcQhfepY3s5akxuKMGa2T97WZVWB4a,MOS-P1,yes,2026-09-02T13:04:06.000Z,4970.90504,5,1,71.67552252700038,5411693.816122904
7,FfztZq1outrYfyYbKw5P4LGo4xUc4XYEdf7o91UdS7qu,MOS-P1,yes,2026-09-02T12:09:01.000Z,2746.287501,1,0,0,5299978.705915149
8,qGenC543dgSmAaRVTfatSccn6o5yZ3MGNs2wv1THvS7,MOS-P1,yes,2026-09-02T13:01:02.000Z,2487.515,4,6,249.9202742053883,923267.582759088
9,CWFMy5cJGsyi5R7ZBzUeuYiuZ1gEMoLgG6V8vUftLj7Y,MOS-P1,yes,2026-09-02T12:13:16.000Z,2407.9091829999998,2,2,199.1678890498655,0.4834724348038435
10,92zab17cU52UWnpeHzLwMshZUHKSQsJ3YMuLEHwckZZS,MOS-P1,yes,2026-09-02T13:04:50.000Z,2277.2450440000002,4,2,-36.25006803608253,2098841.230620455
11,Gxir4qAwqMh96gUskLkAct3fmWpdDDuwFHfwThPLofoV,MOS-P1,no,2026-09-02T11:15:26.000Z,2183.368074,1,5,1785.3437732061693,0
12,3xEdkW1jevAXB2QGwXBFTrkbmSgBy4FeBz36N6e1WTvc,MOS-P1,no,2026-09-02T12:45:19.000Z,2105.711823,1,0,0,3315973.969430293
13,3fMZKJzUX9vayZWH4FxA8L6LnqrQ2pdpGj5RsXJqywtb,MOS-P1,no,2026-09-02T12:09:38.000Z,1573.777987,1,1,-217.94364200000004,0
14,2h7Ns9w2grSeQ9mE9WggJZvxMKKLNADJrKTSLucrbmzB,MOS-P1,no,2026-09-02T12:59:34.000Z,1094.629226,6,0,0,1436294.9599446289
15,D8brJFMAFYY4DbVASosVo9DZgfPVPrvQRFLm8MQm8Gkx,MOS-P1,no,2026-09-02T13:40:03.000Z,998.65,1,2,-283.4027179999999,0
16,8Ygy3ZakmaK6mHaLTPSWXbheZcyiZihwVJXHqMBLo5Tj,MOS-P1,no,2026-09-02T12:10:06.000Z,995.579388,1,1,-144.09689100000003,0
17,DytQyNJjG1xVtvTKkKbPcU9UQMMgf4WAbigu332SzE1P,MOS-P1,no,2026-09-02T12:56:35.000Z,992.4839380000001,20,0,0,1374686.2416517104
18,GQPKoh3ETodH3nav7oCQnZnqVnmMcLZgxqYZBJ2svHpu,MOS-P1,no,2026-09-02T13:29:51.000Z,981.812325,1,0,0,1132287.099562937
19,439w8KCqtn2orKQiEa147iRKtQT6wcgUTQ5uJX233Bz3,MOS-P1,no,2026-09-02T13:00:32.000Z,919.24244,6,1,-8.248527000000031,826741.318666298
20,45nB1T8zrZzoj941LkQfCVj1gboasEfz6YzyA5D1jWHJ,MOS-P1,no,2026-09-02T13:14:34.000Z,900.1268680000001,6,2,14.654284999999927,0
21,36Fo1XJu1x4YZfdwekkC133sgCZMRLCj44raPmgfnrBp,MOS-P1,no,2026-09-02T12:58:21.000Z,839.229611,1,2,41.73838435323487,1000000.8186487299
22,9M3MWgLaiyPmE6PrW3xrT8cT2anmenmuGMQmWsr8FSQ5,MOS-P1,no,2026-09-02T12:47:32.000Z,690.130207,4,4,22.099706999999988,0
23,4nFMqrDPrHTe6iFwxmGQpPqEFJmEXpv59RSymoT4QAHw,MOS-P1,no,2026-09-02T12:10:12.000Z,636.480052,2,1,-115.00489499999996,0
24,3HLDZ3YLSrai8QiuB2ocs53VXY57BV98yxdxMaNN4fCV,MOS-P1,no,2026-09-02T12:44:19.000Z,621.553,2,0,0,1034977.727904148
25,GwoA6bG9LMuakc3qffVDwr3XQuWJjK2stPrWvqvBqw8d,MOS-P1,no,2026-09-02T12:42:16.000Z,599.4,1,0,0,1043880.634870544
26,99V2NmAUPodwgB3gXBFJxY9Ne5k9UePYGP9GAPjf7b6L,MOS-P1,no,2026-09-02T12:20:31.000Z,597.347633,1,1,-17.43721499999993,0
27,CEMcSnWdwAENhjismbQjHVJ8YeJ1RWCuq3KQUhBvY9z7,MOS-P1,no,2026-09-02T13:25:57.000Z,588.089259,5,1,390.48223856478324,309664.378501109
28,3mMCYYQMgXaZ72QyucEMuJ1abxyg1J1DkzcEeC7N85W3,MOS-P1,no,2026-09-02T13:34:12.000Z,559.256202,1,1,716.8063609999999,0
29,9cgUCutqFPWp8rGxagvowKQ29tdpcffcvraHP1QXjEQg,MOS-P1,no,2026-09-02T12:44:54.000Z,548.909399,1,0,0,895187.723562664
30,HTTFsaRdAw9fPGDDcMgA6F6WLKAaK382T6FWN8E6Ktjj,MOS-P1,no,2026-09-02T12:19:10.000Z,538.343404,1,2,942.3331809854216,239747.38691862999
31,FFtUfxbhwNraSHPgE9Kh9tjKbYY64tdnjPcUuVko7zbu,MOS-P1,no,2026-09-02T12:09:31.000Z,526.591573,1,1,24.294421999999987,0
