tx_hash,block_number,block_time,block_time_utc,wallet,side,eth_amount,pool_token_amount,trader_token_amount,price_eth_per_token,eth_usd,mcap_usd,attribution,tx_from,log_index
0xc94ff22f8a96031a2b16d217f3b48f0594013886b58c68c23889b9f237b0bde1,48485901,1787939007,2026-08-28T17:43:27Z,0xf5679a3c17c3cc85286a2dfd6e4f1e781288bfa1,buy,0.01008,488623.22263302765,8802871.68565115,2.0629392e-08,2438.9347982005847,50313.742014520765,multi_ambiguous,0x9e8cebbf4e7324d8c1cdb0e805e7579dead5ef3f,40
0x0645534027263856b698b38e2fe7a649cb8ce1844351410f7a4576e400b3246b,48485902,1787939007,2026-08-28T17:43:27Z,0x4b21a4b2e88fe128f4851750811dfa9c64236a83,buy,0.17,7901867.455200086,7743830.106096085,2.1513901740800002e-08,2438.9347982005847,52471.00360070526,single,0x4b21a4b2e88fe128f4851750811dfa9c64236a83,28
0x702c17ef56b53608370d34d225df42d8051ccdb4d254f542cdf7697bdcca42f7,48485904,1787939007,2026-08-28T17:43:27Z,0xc0b3535e207830706656016b62806d8fe9e6ae6e,buy,0.40777,16666557.424154634,16333226.275671542,2.4466360366000003e-08,2438.9347982005847,59671.857681953006,single,0xc0b3535e207830706656016b62806d8fe9e6ae6e,1
0xe067286590b4309caa1488834c93c8df3bafb66cafd79d80b43e9735c16c9463,48485904,1787939007,2026-08-28T17:43:27Z,0x178aa501a1e8291e6c2201c7d8a6f24e55832d19,buy,0.005,186762.14001176073,183026.8972115255,2.677202135125e-08,2438.9347982005847,65295.214491732666,single,0x178aa501a1e8291e6c2201c7d8a6f24e55832d19,10
0xfbb11cfe828f9b09a9846c26e2232415614a3ce4019efd645affa1cff51161f1,48485906,1787939007,2026-08-28T17:43:27Z,0x1632d574243d63b1bc5d0437fce31d808c7bf065,sell,0.006221563468063494,232449.8083303995,232449.8083303995,2.6765190785704102e-08,2438.9347982005847,65278.555187731385,single,0x1632d574243d63b1bc5d0437fce31d808c7bf065,28
0x7c833c595c7d89e06b3871ae837ef5f3ce496f358e44bdb2f017f738cf66599e,48485908,1787939008,2026-08-28T17:43:28Z,0x5bf7f0243b67d8e73777a05005b3898d21a71f98,buy,0.0099,369599.74665630824,362207.75172318204,2.6785732646094143e-08,2438.9347982005847,65328.655445856435,single,0x5bf7f0243b67d8e73777a05005b3898d21a71f98,32
0xcc8f67ed6e5fdb1c838f4270b3bce31a8cf23d6d792fb46fda3a8eda561f8ead,48485908,1787939008,2026-08-28T17:43:28Z,0x871c73f498cd17c678517c02cc9cf31f3abec9fa,buy,0.0297,1099701.3594023094,1077707.3322142633,2.700733225986192e-08,2438.9347982005847,65869.12245514248,single,0x871c73f498cd17c678517c02cc9cf31f3abec9fa,41
0xa56b6ebc31b5b85df71d27a9b111a659b5c7cc4409d08df074c5d47bf33a5b15,48485908,1787939008,2026-08-28T17:43:28Z,0x4e1df808535a6a161ecf6e3982f05ca3af0cb90e,buy,0.00495,181969.02030430507,178329.639898219,2.7202432544408725e-08,2438.9347982005847,66344.95932826251,single,0x4e1df808535a6a161ecf6e3982f05ca3af0cb90e,64
0xa69682f8482b9ebd019c89b958c8284c667a634cdf4385bdb682c4d4b84b13da,48485908,1787939008,2026-08-28T17:43:28Z,0xdbf284dd057ba0cae6b23c1ac54804b9c97544ef,buy,0.011902840689527327,436042.6753811991,427321.82187357516,2.7297421471697866e-08,2438.9347982005847,66576.63112847174,single,0xdbf284dd057ba0cae6b23c1ac54804b9c97544ef,73
0xbe70af6c4322413656b000af88669d8986b7e7c5549606a484d34c9a156b963c,48485909,1787939008,2026-08-28T17:43:28Z,0x8da54bc39b8b03b0972b6bc3da28d51369bd8a73,buy,0.06435,2320736.204985411,2274321.4808857027,2.7728269960956005e-08,2438.9347982005847,67627.44250167557,single,0x8da54bc39b8b03b0972b6bc3da28d51369bd8a73,45
0xac90d44279a0308ebd7b6c18c3f5ec2ac51c241c0046cfabb1e41fd198ab8cd4,48485910,1787939008,2026-08-28T17:43:28Z,0xccb46bf230046212be75ae8c9a3c65099d1e666d,sell,0.11252186241457106,4098788.3084230954,4098788.3084230954,2.745246983927818e-08,2438.9347982005847,66954.78398756757,single,0xccb46bf230046212be75ae8c9a3c65099d1e666d,10
0x165fd8b10cf6b0cdee4a6ec56537fae71f5f8c5d31d92742588e1ffee65edf55,48485912,1787939008,2026-08-28T17:43:28Z,0x0af7fbbe530bc0a908fe739bc89193e416b31c85,buy,0.0297,1100441.835950931,1078432.9992319124,2.698915929012747e-08,2438.9347982005847,65824.79976687048,single,0x0af7fbbe530bc0a908fe739bc89193e416b31c85,4
0xdeddf8db3c84a21d7adff4f524946a2436c45b0a0d2772170f789f2502465556,48485915,1787939008,2026-08-28T17:43:28Z,0xfd614a5a1fed28507aacf2e477deaef2df035913,sell,0.027303684190152673,1011148.41540481,1011148.41540481,2.7002647459247348e-08,2438.9347982005847,65857.69653190096,single,0xfd614a5a1fed28507aacf2e477deaef2df035913,21
