wallet,first_buy_time_utc,first_buy_mcap_usd,n_buys,tokens_bought,eth_spent,usd_spent,tokens_held_at_window_close,current_onchain_balance,current_usd_value,status
0x387a85cbde43e5647dcf753c6b7a738f9c3a2179,2026-08-31T20:58:30Z,95188.72,3,22911075.5391,0.98944585,2448.65,22911075.5391,0.0,0.0,exited after window
0xfddbb0af1cbc8f4a0dfde9634c804be675f19444,2026-08-31T18:16:10Z,68083.76,2,14575381.7285,0.38182374,944.93,14575381.7285,14575381.7285,1559.57,still holds
0xde53ff7437a5c72a14abeb496cc040b87a74400f,2026-08-31T18:56:13Z,64941.14,2,10690292.6947,0.297,735.01,10690292.6947,10690292.6947,1143.86,still holds
0x2cc53d04f9084dfb115e8db207b9267d552604ea,2026-08-31T18:57:50Z,80012.83,7,9793395.0648,0.34353,850.16,9793395.0648,9793395.0648,1047.89,still holds
0xa415a9e78b904c1ecd35b0832f8b74c87244ca48,2026-08-31T18:58:47Z,103168.78,1,9566239.2617,0.3988,986.94,9566239.2617,9566239.2617,1023.59,still holds
0x11d9eb8aafdc1eeef0cee2fe4c5a17ed2541501d,2026-08-31T17:24:17Z,64873.48,4,8813481.8384,0.22667865,560.98,8813481.8384,0.0,0.0,exited after window
0x5e1bc70cec80a94fbc3dea8ff33b7ebf139a7be4,2026-08-31T18:59:22Z,90720.09,3,8644089.5418,0.30366444,751.5,8644089.5418,14500226.7335,1551.52,still holds
0x45fd36c9cdd500c1b372d99ba3bd79da0d358504,2026-08-31T17:22:12Z,51568.72,3,8637912.4315,0.20650344,511.05,8637912.4315,0.0,0.0,exited after window
0xb0b8a1ec009684a5739f94b7378aaeb55be09698,2026-08-31T17:22:12Z,53529.64,3,8361087.8962,0.20650344,511.05,8361087.8962,0.0,0.0,exited after window
0x1ec81cb42dc7cdf26a4f88fdeb7cf83f5b04f372,2026-08-31T17:22:12Z,55527.16,3,8066878.0089,0.20650344,511.05,8066878.0089,0.0,0.0,exited after window
0x5aec8868770584f76f83bb4ca9b21aa0af5f73c0,2026-08-31T17:21:23Z,61373.25,1,7983998.1361,0.198,490.0,7983998.1361,5588798.6953,598.0,still holds
0x56996763cd68db3bf5f6e24d9b3f1198e6299669,2026-08-31T17:34:10Z,61014.99,1,7930788.5359,0.19553233,483.9,7930788.5359,0.0,0.0,exited after window
0xead3f93ff737a1be0c8a11529f3c034b44549bb1,2026-08-31T17:22:12Z,57561.26,3,7878380.5918,0.20650344,511.05,7878380.5918,0.0,0.0,exited after window
0x1334fb6ea0e90ab44fbad8fa22453d7608291d34,2026-08-31T17:46:38Z,83006.69,7,7169603.2248,0.2298612,568.85,7169603.2248,17783.1985,1.9,still holds
0x5e5392695524a9a462730bd5e0ae512722967ac4,2026-08-31T17:54:44Z,85725.39,2,6736452.2802,0.2079,514.5,6736452.2802,0.0,0.0,exited after window
0x829b934017f419b1f58187ea21c48abacf6f2de0,2026-08-31T18:59:39Z,95400.52,1,6420352.1339,0.2475,612.51,6420352.1339,3210176.067,343.49,still holds
0x976a1e9c697aff4178836008c8bf68f72ab6ecc9,2026-08-31T17:22:12Z,59631.94,2,6036070.5921,0.1584,392.0,6036070.5921,0.0,0.0,exited after window
0x58f200e909f575bec70f2ac802206e9d18d8fdf4,2026-08-31T17:29:17Z,56816.09,3,5718895.7307,0.14,346.47,5718895.7307,0.0,0.0,exited after window
0xe5a0ec276556d2ddf9e11dc6299291099c0c59ce,2026-08-31T17:24:20Z,72643.74,1,5672798.3671,0.166518,412.09,5672798.3671,0.0,0.0,exited after window
0x8eab714a8b1db7dacdfaeb5aaa7c08d0d6a23a53,2026-08-31T17:46:27Z,78197.95,2,5548335.6121,0.1615415,399.78,5548335.6121,3115238.9387,333.33,still holds
0x4c5439333bb9bfe7ac86b6c69a4a69f3451ffe98,2026-08-31T17:38:08Z,69619.84,3,4980461.7203,0.1259916,311.8,4980461.7203,97972158.5186,10483.02,still holds
0x2aa0bcf849ec7d9dfbc95cf4dd68bc1a17123294,2026-08-31T18:18:27Z,70309.26,3,4869558.4135,0.11940024,295.49,4869558.4135,4869558.4135,521.04,still holds
0x267444d099b10fb5ed7c3cc7b7c767adca574952,2026-08-31T17:20:47Z,52670.05,1,4698623.6355,0.1,247.48,4698623.6355,81632653.0612,8734.69,still holds
0x7a40e53bbfe8fa9e661b52a10b2ca9214b525475,2026-08-31T17:37:04Z,68815.08,4,4633154.5673,0.11906533,294.66,4633154.5673,10414224.3877,1114.32,still holds
0xf333b01b1a50541ee88ee42230f2944786a6f30f,2026-08-31T20:49:22Z,83978.76,1,4622178.5754,0.15684902,388.17,4622178.5754,9680.6061,1.04,still holds
0x256f5e739aa40beff383c87502f5f79f1c86b90e,2026-08-31T19:20:35Z,78810.33,3,4590412.7661,0.1485,367.5,4590412.7661,7027387.2821,751.93,still holds
0xe35087375321fa1c6f4f82a338c1961c604a376f,2026-08-31T17:29:00Z,48207.21,1,4319927.5609,0.08415,208.25,4319927.5609,4319927.5609,462.23,still holds
0x1691d2642ebf2bfaecd84f898c97ca7b5e08782c,2026-08-31T20:35:09Z,72733.11,2,4293347.4274,0.1279035,316.53,4293347.4274,4293347.4274,459.39,still holds
0x244e5d22e518530395deafcde0932f567159cca3,2026-08-31T17:21:33Z,38668.9,2,4023509.9615,0.066,163.33,4023509.9615,0.0,0.0,exited after window
0x115bb49e4e0546d499ec8b1f8b75e6c59c03ab3f,2026-08-31T17:45:23Z,75356.57,1,3995414.4665,0.12166022,301.08,3995414.4665,5614799.4364,600.78,still holds
0xc658de63f04af9f7846080f858eaa28059ed13a6,2026-08-31T17:21:33Z,39372.97,2,3953202.3675,0.066,163.33,3953202.3675,0.0,0.0,exited after window
0x0e0a543d71689aaa75a7f616f66111a277777777,2026-08-31T18:56:56Z,74750.55,2,3934856.0484,0.11978254,296.43,3934856.0484,2346696.1515,251.1,still holds
0xccbd5d905df8d82b58809a5ee2f4d2398084ff4b,2026-08-31T17:21:33Z,40083.39,2,3884722.7452,0.066,163.33,3884722.7452,0.0,0.0,exited after window
0x078bcf71506815fecdfa501041e27a85e3b1984e,2026-08-31T17:21:14Z,48881.68,3,3809963.3882,0.08634047,213.67,3809963.3882,3809963.3882,407.67,still holds
0x6078ee8a93697c6d67863fcbff77141d9ab358b2,2026-08-31T17:52:14Z,65353.95,1,3748846.9825,0.099,245.0,3748846.9825,12225858.6346,1308.17,still holds
0x639890cf2876289f78fef53f943c8cc1dcc76259,2026-08-31T19:08:05Z,80006.54,1,3702449.7095,0.11969618,296.22,3702449.7095,3702449.7095,396.16,still holds
0x1e77e0712a43059b97d1cd11c95113677387da07,2026-08-31T18:10:32Z,55981.24,3,3483372.0929,0.1092861,270.46,3483372.0929,3388319.7482,362.55,still holds
0xece4c8a71eaa31a487b15995c78bf786bfa30833,2026-08-31T20:38:30Z,77239.32,1,3204025.4401,0.1,247.48,3204025.4401,3204025.4401,342.83,still holds
0xeeb64b37034c0dae1cb54792d8180580676c1120,2026-08-31T17:57:46Z,66887.71,1,2981131.747,0.08057366,199.4,2981131.747,2494108.3252,266.87,still holds
0x02c9f7d9a27ad57a40f05de276012d698db2697d,2026-08-31T17:39:27Z,75216.34,4,2979086.2157,0.10099359,249.94,2979086.2157,3414177.5932,365.32,still holds
0x1dad67761031c9886afea86d8256f51e92229f64,2026-08-31T18:27:11Z,51643.62,1,2858970.8238,0.05966121,147.65,2858970.8238,3284596.184,351.45,still holds
0x939c1fb5d53cfc0370d4c76e0be2ac2fd1bd9e27,2026-08-31T17:28:12Z,59308.91,2,2845937.0672,0.06514212,161.21,2845937.0672,4115338.4947,440.34,still holds
0xb309e8f0e8f9426de4394c0f5e0691f9bdeaa34f,2026-08-31T18:10:35Z,55322.75,2,2844574.9557,0.06405558,158.52,2844574.9557,2713269.8802,290.32,still holds
0x530dd5ba7921bcdc3d991b7b5cd6768fd4dd34c3,2026-08-31T20:46:47Z,83258.83,4,2815778.8319,0.12766559,315.94,2815778.8319,2815778.8319,301.29,still holds
0xe56518494572358a94033f5c019fb5b0aaef4404,2026-08-31T17:26:15Z,82208.88,11,2776292.4307,0.0757346,187.43,2776292.4307,4474914.8263,478.82,still holds
0x9bbcca9cb2441c3031f79ca8b2f79bf6e38160f7,2026-08-31T18:19:09Z,71556.64,1,2668937.4109,0.07717097,190.98,2668937.4109,2668937.4109,285.58,still holds
0x25366a603e75c16873e80015553a54b356edab09,2026-08-31T17:30:30Z,56284.13,1,2611769.4923,0.0594,147.0,2611769.4923,0.0,0.0,exited after window
0x7aa49ab3728bc6fc9ec098a9630cc2c6ac17856f,2026-08-31T18:32:30Z,66004.52,3,2600223.5779,0.11,272.22,2600223.5779,0.0,0.0,exited after window
0x081ecb3fe606f56134a9b4b2f0d6c631cdbc5511,2026-08-31T19:29:38Z,84118.15,1,2355617.7602,0.08006821,198.15,2355617.7602,2355617.7602,252.05,still holds
0xa0ed47a5dc1017db87d3807ecd95750b3ea0ff85,2026-08-31T17:23:37Z,65073.92,1,2258987.6735,0.0594,147.0,2258987.6735,8634654.0296,923.91,still holds
0x1aa9723fe2ad3ae37aaaf5e03579157f33354321,2026-08-31T19:22:16Z,86008.93,1,2221880.0166,0.07722,191.1,2221880.0166,0.0,0.0,exited after window
