wallet,first_buy_time_utc,first_buy_mcap_usd,n_buys,tokens_bought,eth_in,usd_in,n_sells,tokens_sold,eth_out,usd_out,realized_pnl_eth,realized_pnl_usd,tokens_left_at_window_close,current_onchain_balance,current_usd_value,status
0x36ea935ecd436396fb149c036d1f7c9599d7acfc,2026-08-31T17:55:33Z,83247.38,3,25141802.6393,0.80226777,1985.43,2,25141802.6393,0.70035802,1733.23,-0.10190975,-252.2,0,0.0,0.0,sold out in window
0x7c619e73afc3ff0aaa909b11f2480cf8287867e0,2026-08-31T17:21:33Z,40871.84,49,24204469.7653,0.716661,1773.57,10,24204469.7653,0.70199389,1737.27,-0.01466711,-36.3,0.0,0.0,0.0,sold out in window
0xc87b51c71707cfdd08cd374a596a6946cb1d6a66,2026-08-31T17:21:31Z,38577.67,6,23569438.9156,0.49648467,1228.69,47,23569438.9156,0.66561436,1647.24,0.1691297,418.56,0,0.0,0.0,sold out in window
0x648920dc9c57447441cdc831799e10b8084394ec,2026-08-31T17:20:59Z,48667.35,1,12585540.8737,0.2475,612.51,3,4939824.7929,0.19527002,483.25,0.09812627,242.84,7645716.0808,5097144.0539,545.39,still holds
0xe4976dfd198c56823bb938642158225b3dfe66e4,2026-08-31T17:21:01Z,48247.46,3,10890227.8922,0.2178,539.0,4,10890227.8922,0.35335899,874.48,0.13555899,335.48,0.0,0.0,0.0,sold out in window
0x78a1439bbb4d2471b5566c9e1b9282ec50ab4977,2026-08-31T17:21:48Z,43547.41,1,10776180.4401,0.18962377,469.28,5,6776000.0,0.22765171,563.39,0.10841738,268.31,4000180.4401,2420191.637,258.96,still holds
0x5189f4f534fb182c46fe9b6ddd0e2adafb168874,2026-08-31T17:21:10Z,46114.95,1,10625707.3946,0.198,490.0,1,5312853.6973,0.21006646,519.87,0.11106646,274.86,5312853.6973,5312853.6973,568.48,still holds
0x98dcbdf36a4ea930dd66cd8aebfd3378a248ca9c,2026-08-31T17:23:31Z,61932.15,1,9889935.0943,0.2475,612.51,1,9889935.0943,0.28277535,699.8,0.03527535,87.3,0,0.0,0.0,sold out in window
0x658fa6c3b68be0364c390770df562a17bfeb6f72,2026-08-31T18:56:26Z,68842.25,3,9624397.0949,0.297,735.01,3,9624397.0949,0.30939679,765.69,0.01239679,30.68,0,0.0,0.0,sold out in window
0x637dd5e141817e6c7363a4f9b3bcc16e0d34c0c2,2026-08-31T17:26:09Z,74393.38,1,9011367.633,0.27088855,670.39,1,9011367.633,0.20973739,519.05,-0.06115116,-151.33,0,0.0,0.0,sold out in window
0xdb596d1335bf6e18fd8915562641d97974880bc9,2026-08-31T18:01:28Z,62176.93,3,8633603.866,0.199,492.48,5,8633603.866,0.30061517,743.95,0.10161517,251.47,0,0.0,0.0,sold out in window
