wallet,first_buy_time_utc,first_buy_mcap_usd,n_buys,tokens_bought,eth_in,usd_in,tokens_transferred_out,share_of_bought_that_left,destination_addresses,tokens_left_at_window_close,current_onchain_balance,current_usd_value,status
0x78a1439bbb4d2471b5566c9e1b9282ec50ab4977,2026-08-31T17:21:48Z,43547.41,1,10776180.4401,0.18962377,469.28,6776000.0,62.88,0xa687b664662b96b180346d699a6d5b42e9b05d31,4000180.4401,2420191.637,258.96,still holds
0x9c75ea1acaa32104fe3987042c3ac7868f7f37f7,2026-08-31T18:30:17Z,57067.8,2,10373883.7023,0.248514,615.01,10373883.7023,100.0,0x2eecc6ef2e523eac7991fa5b33d0fc1626b6022d,10373883.7023,0.0,0.0,exited after window
0x98dcbdf36a4ea930dd66cd8aebfd3378a248ca9c,2026-08-31T17:23:31Z,61932.15,1,9889935.0943,0.2475,612.51,9889935.0943,100.0,0xb1000000096bd2f8ca9b6883182eccaf31e7c3fd,0,0.0,0.0,sold out in window
0xdb596d1335bf6e18fd8915562641d97974880bc9,2026-08-31T18:01:28Z,62176.93,3,8633603.866,0.199,492.48,8633603.866,100.0,0xa687b664662b96b180346d699a6d5b42e9b05d31,0,0.0,0.0,sold out in window
0x39afddf0e591f2aacfbb0faab55aeda72d70ec5f,2026-08-31T17:24:32Z,86782.46,2,6239940.7228,0.22275,551.26,6239940.7228,100.0,0x5158d563186e2c448b435b1f9d8f12ba429d089f,0,0.0,0.0,sold out in window
0x4a88453ec69371fd5f13bad8134706b93951d29a,2026-08-31T17:24:32Z,91572.14,2,5966356.827,0.22275,551.26,5966356.827,100.0,0x5158d563186e2c448b435b1f9d8f12ba429d089f,0,0.0,0.0,sold out in window
0x5cca7f5ff7cbbee126e6984533401a0d8fd53c92,2026-08-31T17:36:22Z,65905.29,1,5782755.5445,0.154,381.11,5782755.5445,100.0,0xa3a990e2b4791487419248e4d52d3e9b478b8ce8,5782755.5445,0.0,0.0,exited after window
0x92e0dd9125baad2ef3e38d8c159e67f3ef95edd0,2026-08-31T17:31:44Z,59990.64,4,4815477.888,0.13622576,337.13,10000.0,0.21,0xb4ed908ffba2b709c2f0012597ba3b3710f239cf,4815477.888,3004552.5264,321.49,still holds
0x0582a5c1f4cb950150ed3765d5b1150b6f92900f,2026-08-31T17:29:55Z,56643.77,1,4521917.0289,0.1035,256.14,4213617.2294,93.18,0x8f10b468b06c6fd214b65f87778827f7d113f996,308299.7996,0.0,0.0,exited after window
0xf78e032ac94922d99a5f79422e2e180282ba408e,2026-08-31T17:21:40Z,40246.49,1,4435342.2339,0.07213081,178.51,3067548.8643,69.16,0xa293c6b1c6123e0e2a6305c624f052e2b0ecbc31,4435342.2339,0.0,0.0,exited after window
0x4d39db29d5ebfb69a86fdef1ff403df67e827c5a,2026-08-31T17:23:31Z,57326.05,1,4273833.3514,0.099,245.0,4273833.3514,100.0,0xb1000000096bd2f8ca9b6883182eccaf31e7c3fd,0,0.0,0.0,sold out in window
0x505f234cc7fbfd4ee574bc80a26f5f9350d98bbb,2026-08-31T18:19:15Z,75140.65,1,4242425.7313,0.12881156,318.78,4242425.7313,100.0,0xa687b664662b96b180346d699a6d5b42e9b05d31,0.0,0.0,0.0,sold out in window
0x46829c00bbb00ef5e70817282e3cd2ef598a0743,2026-08-31T18:00:46Z,60799.19,6,3077254.8464,0.10998531,272.19,1506678.7508,48.96,0xb477751b76cf82d00a686a1232f5fcd772414af3,583382.865,8300.352,0.89,still holds
0x46487645d57cc165aadd631b99f235c23bfa0d5d,2026-08-31T19:10:49Z,90009.05,1,2721970.2349,0.099,245.0,2721970.2349,100.0,0x64d793458705cc75a21f7766c835a87b2114bbd3,2721970.2349,0.0,0.0,exited after window
0xbde0766ad1c043f93178ff7349f38a62e042ce41,2026-08-31T17:34:06Z,58098.68,2,2454481.5288,0.0693,171.5,843399.3665,34.36,0xb1000000096bd2f8ca9b6883182eccaf31e7c3fd,1611082.1623,1611082.1623,172.39,still holds
0x57bcc6d643fa4aa3ad1b537303899a4f3be3f7a3,2026-08-31T17:24:54Z,101552.33,1,2412568.5293,0.099,245.0,2412568.5293,100.0,0x5158d563186e2c448b435b1f9d8f12ba429d089f,0,0.0,0.0,sold out in window
0x2ea8b49cab05f15591a9917d71b1dee8d6a180f1,2026-08-31T17:23:49Z,76386.47,1,2256519.378,0.06965,172.37,2256519.378,100.0,0xb300000b72deaeb607a12d5f54773d1c19c7028d,0,0.0,0.0,sold out in window
0x8f07898600cdf2a6c64bf3183dbb7565017a0dc9,2026-08-31T17:23:44Z,72230.1,4,2153678.1471,0.06935,171.63,444444.0,20.64,0xa687b664662b96b180346d699a6d5b42e9b05d31,1009690.4167,0.0,0.0,exited after window
0xad94984e839edf72cb596e0444233b1c44ef0a13,2026-08-31T17:39:52Z,76668.75,10,2136308.0941,0.054725,135.43,2136308.0941,100.0,0xb300000b72deaeb607a12d5f54773d1c19c7028d,0.0,135839.3921,14.53,still holds
0x33e315cf1faabcba37cdb75d864eed4167628947,2026-08-31T19:33:32Z,85021.74,1,1698622.3956,0.05835693,144.42,1698622.3956,100.0,0xe56518494572358a94033f5c019fb5b0aaef4404,1698622.3956,0.0,0.0,exited after window
0xdcf838b0f272a8cdf745741d2401af43f339f733,2026-08-31T17:26:50Z,78309.2,2,1615939.4386,0.04795173,118.67,1615939.4386,100.0,0xdbea8a69fb310990bf84d513f0e45fd307030a8a,1615939.4386,0.0,0.0,exited after window
0xf3e0382cd43a83fb92cddd433425d3540cf143f0,2026-08-31T20:08:03Z,80484.0,1,1527450.1546,0.0496755,122.94,24439.2025,1.6,0x147cf09e7373b8fda6f12021f1b0f98d6da1a566,1527450.1546,1503010.9522,160.82,still holds
0xe89e559408ed98a11edc6491c59573fbff907750,2026-08-31T17:21:56Z,53415.41,1,926611.8048,0.02,49.5,463305.9024,50.0,0xa687b664662b96b180346d699a6d5b42e9b05d31,463305.9024,0.0,0.0,exited after window
0x7be530eff1e8e066db20b66166357853e8bbc300,2026-08-31T17:55:03Z,79792.01,1,921152.2482,0.0297,73.5,921152.2482,100.0,0xb1000000096bd2f8ca9b6883182eccaf31e7c3fd,0,0.0,0.0,sold out in window
0x520d46d02d177a65d4ac11d8faa3c32db367b800,2026-08-31T17:26:35Z,94855.86,2,660306.8784,0.01992,49.3,660306.8784,100.0,0xa687b664662b96b180346d699a6d5b42e9b05d31,0,0.0,0.0,sold out in window
0xf67b91977f3efd98647a28fb6441b343b58d496d,2026-08-31T17:54:04Z,75193.09,1,651660.8198,0.0198,49.0,651660.8198,100.0,0xe868a0c071450e3722377d863ab758150bf27769,0,0.0,0.0,sold out in window
0x6d8c3ee45759c73ceeebd988b0c98b3ae4d1a9ed,2026-08-31T17:21:14Z,49655.69,2,566434.2177,0.01204011,29.8,366502.5877,64.7,0x81da6bcd98ae46621a1e9743a3f51b10b7e16d97,0,0.0,0.0,sold out in window
0x0819f272bb7b65b23bd8e4d8206293094e3a753e,2026-08-31T17:29:17Z,56176.66,1,436127.6976,0.0099,24.5,436127.6976,100.0,0xb1000000096bd2f8ca9b6883182eccaf31e7c3fd,0,0.0,0.0,sold out in window
0xe8369bc0913dad6e89bfbc7bb6e8499631d1371e,2026-08-31T17:20:58Z,46275.51,1,267394.9145,0.005,12.37,66848.7286,25.0,0xa687b664662b96b180346d699a6d5b42e9b05d31,200546.1859,150409.6394,16.09,still holds
0x4e5768899556d58c7450de7fdad15ed57e3d99ef,2026-08-31T18:28:43Z,51401.14,1,216657.7072,0.0045,11.14,216116.0629,99.75,0x8f10b468b06c6fd214b65f87778827f7d113f996 0xcd6b980029e6e6e0733ac8ec3e02be9410d09799,1081.9344,0.0,0.0,exited after window
0x8017e2c1c18c53ed52cbbeb58146d144dbfa66a3,2026-08-31T17:22:05Z,49432.55,1,184079.7138,0.00367692,9.1,184079.7138,100.0,0xa687b664662b96b180346d699a6d5b42e9b05d31,0,0.0,0.0,sold out in window
0xa5080430bfb41658a64d58d648003ae8c00a57ab,2026-08-31T17:26:08Z,69944.19,1,176025.596,0.004975,12.31,176025.596,100.0,0xa687b664662b96b180346d699a6d5b42e9b05d31,0,0.0,0.0,sold out in window
0x1fb4eda3ea19ee3f76d8df5e9543e2249764511d,2026-08-31T17:31:00Z,57154.35,1,174710.8461,0.00403492,9.99,174710.8461,100.0,0xa687b664662b96b180346d699a6d5b42e9b05d31,0,0.0,0.0,sold out in window
0x943911639bc2832aa5faf8605dbee867a5139ea8,2026-08-31T18:13:26Z,57283.61,1,166629.7836,0.00385699,9.55,166629.7836,100.0,0xb477751b76cf82d00a686a1232f5fcd772414af3,0.0,0.0,0.0,still holds
0xb200bb672c75599e6141cc6aa1a4a9ddb9dfa6fc,2026-08-31T17:26:30Z,96036.25,1,155618.1681,0.00603895,14.95,155618.1681,100.0,0xa687b664662b96b180346d699a6d5b42e9b05d31,0,0.0,0.0,sold out in window
0x2a5c0ff1363a77f34522160930e52e0828757b4b,2026-08-31T17:43:04Z,70465.88,1,140233.4601,0.00399297,9.88,140233.46,100.0,0xa687b664662b96b180346d699a6d5b42e9b05d31,0.0001,0.0001,0.0,still holds
0x03bf7bc613bcd59f61180d6aebc4bab56b40f3f3,2026-08-31T17:21:25Z,59499.72,1,124279.6636,0.002988,7.39,124279.6636,100.0,0xa687b664662b96b180346d699a6d5b42e9b05d31,0,169076.2338,18.09,still holds
0xf451638e3466ac35264386909d3e738da354c33d,2026-08-31T18:03:26Z,67107.55,1,74203.4647,0.00201215,4.98,74203.4647,100.0,0xa687b664662b96b180346d699a6d5b42e9b05d31,0,0.0,0.0,sold out in window
0xb8f156c745139c25cb0e6fa00627b376f61b0dae,2026-08-31T17:26:05Z,74386.91,1,66870.9812,0.00201002,4.97,66870.9812,100.0,0x81da6bcd98ae46621a1e9743a3f51b10b7e16d97,0,0.0,0.0,sold out in window
0xa0389008cbe6292413e66dc5f51da08da25d78b7,2026-08-31T17:27:13Z,84251.78,1,18284.4977,0.00062248,1.54,18284.4977,100.0,0xa687b664662b96b180346d699a6d5b42e9b05d31,0,0.0,0.0,sold out in window
