wallet,trades,tokens_bought,tokens_sold,realized_pnl_eth,realized_pnl_usd,implied_balance,onchain_balance,balance_delta,remaining_tokens,unrealized_pnl_usd,still_holding,first_action_sell,first_buy_mcap_usd,price_block,price_usd,paths,balance_match,boundary_balance,boundary_delta,raw_net
0x9461e61ff08fc329e12e824e18533261129d7b3c,11,18573994.994052924,18573994.994052924,3.176705426743541,5621.879059179559,0.0,0.0,0.0,6.984919309616089e-10,0.0,False,False,8781.391839397822,51165960,0.2563271633796273,single,True,0.0,0.0,4.656612873077393e-10
0x99778c01729d2ca6469286db22c4e0007ef6849f,9,18614922.801825076,18614922.80182508,1.8040537809264359,3192.670018202108,-3.725290298461914e-09,0.0,3.725290298461914e-09,0,0.0,False,False,8495.401257303636,51165960,0.2563271633796273,single,True,0.0,3.725290298461914e-09,-1.862645149230957e-09
0xa0d30b692f89af045c908f3dc5f42e081c704e7a,7,16411523.547283396,16411523.547283396,1.441682773787667,2551.374807278002,0.0,0.0,0.0,9.313225746154785e-10,0.0,False,False,9608.00803292727,51165960,0.2563271633796273,single,True,0.0,0.0,9.313225746154785e-10
0xe9bf8afe9380d408e10452bebed307b84c9f048b,3,14582649.71043349,10936987.282825118,1.4371352638579267,2543.3269881033975,3645662.4276083726,0.0,-3645662.4276083726,3645662.4276083726,0.0,False,False,72814.74959084259,51165960,0.2563271633796273,single,False,3645662.4276083726,0.0,3645662.4276083726
0x990a10d6583af349042f111ceac7dd78d287cb1a,9,17868806.078730866,17868806.07873086,1.3822559744245755,2446.2060131931485,7.450580596923828e-09,0.0,-7.450580596923828e-09,6.984919309616089e-10,0.0,False,False,12067.270095581445,51165960,0.2563271633796273,single,True,0.0,-7.450580596923828e-09,2.0954757928848267e-09
0x00fdf1e1ed8b5fb86c8fc9bc5f0639820187cb05,6,18119055.698165826,18119055.698165826,1.3663102614816234,2417.986566428276,0.0,0.0,0.0,0,0.0,False,False,4883.587775970006,51165960,0.2563271633796273,single,True,0.0,0.0,0.0
0x7a32ac863a3022d05a7f763a590bdf9cdda637e6,7,19180946.921155334,11377510.730343085,1.2829932165939233,2270.538727549793,7803436.190812249,0.0,-7803436.190812249,7803436.190812249,0.0,False,False,8169.430701591284,51165960,0.2563271633796273,single,False,0.0,-7803436.190812249,0.0
0x1a8e9c30298ef469ef2a72d8d03007ccf6a88ba8,11,20907123.469747625,18844316.62776216,1.2250026001469805,2167.911575064275,2062806.841985464,0.0,-2062806.841985464,2062806.8419854636,0.0,False,False,51498.400262402065,51165960,0.2563271633796273,single,False,1962548.5965389356,-100258.24544652854,1962548.5965389356
0x78e86865e47dfb7da68495d7f4c80113448cdad6,22,17100273.14474269,16801811.688706752,1.1748367492277427,2079.1320664593827,298461.4560359381,0.0,-298461.4560359381,298461.45603593544,0.0,False,False,17469.735271413243,51165960,0.2563271633796273,single,False,298461.4560359358,-2.3283064365386963e-09,298461.4560359366
0xdcae2343698b2b36e413ef390eb82aae9d4d9513,3,18943651.348778773,18943651.348778777,1.0983936853522847,1943.849249109363,-3.725290298461914e-09,0.0,3.725290298461914e-09,0,0.0,False,False,3699.4405066954664,51165960,0.2563271633796273,single,True,0.0,3.725290298461914e-09,-1.862645149230957e-09
