wallet,n_tokens,tokens,total_realized_usd,NTF_realized_usd,PONS_realized_usd,AI_realized_usd,QUANT_realized_usd,NTF_still_holding,PONS_still_holding,AI_still_holding,QUANT_still_holding,clusters
0xf197e981c934f87b6a63e03d5c279aab000a34e0,2,AI+NTF,15911.94,12905.96,,3005.98,,False,,True,,
0x8a3c26c0564da01152672184757007f0c5844788,2,PONS+QUANT,3386.21,,121.35,,3264.86,,True,,False,ntf-s006 quant-s031 pons-s037
0xaf25d554e5cc9ad2adea0d84d7ad7ae180f082c0,2,NTF+QUANT,1791.28,1856.0,,,-64.72,False,,,False,
0x0a632a6115984735e8726bdb2e3b3b98a2d55aa4,2,AI+QUANT,1341.41,,,276.13,1065.28,,,False,False,
0x35b01f4d927bf314bfca1489d96f7c5a33902d6f,2,AI+PONS,1283.66,,0,1283.66,,,False,False,,
0x0b0ac32c5f8771027cf70ea201ef3fa1d7c541d1,2,NTF+QUANT,1196.33,0,,,1196.33,False,,,False,
0x2709811df9b4bf39470c0b9021d231760ee46246,2,AI+PONS,1148.67,,1148.67,0,,,False,False,,
0x8dd84e0b7b4c1f84fd5d628a029503ef7368147f,2,AI+PONS,1091.81,,832.89,258.92,,,False,False,,
0x182d0928ea38b897f33ecfd7f67735fc351b7658,2,AI+PONS,1049.11,,814.68,234.42,,,False,False,,
0xd1039c6fa0da0f38c60a03748e225dd4c42f398f,2,AI+PONS,1024.87,,784.47,240.4,,,False,False,,
0x29496b7bf2595db8d71c3c15548cab8f85b04771,2,AI+PONS,1018.79,,271.77,747.01,,,False,False,,
0xd2b67f43cfe515718fa52fe73501150956bb9783,2,AI+PONS,1007.39,,767.3,240.09,,,False,False,,
0x49d10829c285feff91406ede1e411f0fa95e62f7,2,AI+PONS,989.6,,748.02,241.59,,,False,False,,
0x82370d6c5a04e0812bcd7877cf5db10acd894cca,2,AI+PONS,946.43,,717.59,228.84,,,False,False,,
0x9b4119b5728f5db6aef0f4cbe7e65cc62dab1be4,2,AI+PONS,933.09,,705.31,227.78,,,False,False,,
0x14078a75f65dc072fe76960aa2769157e443b1d1,2,PONS+QUANT,929.99,,535.63,,394.36,,True,,False,
0x5c04c202c95e5af69f2148b72aa88c39fb8534f6,2,AI+QUANT,923.98,,,861.12,62.86,,,False,False,quant-s007 ai-s011 ai-s013
